date,year,month_number,day,month_name,quarter
2020-01-01,2020,1,1,January,Q1
2020-01-02,2020,1,2,January,Q1
2020-01-03,2020,1,3,January,Q1
2020-01-04,2020,1,4,January,Q1
2020-01-05,2020,1,5,January,Q1
2020-01-06,2020,1,6,January,Q1
2020-01-07,2020,1,7,January,Q1
2020-01-08,2020,1,8,January,Q1
2020-01-09,2020,1,9,January,Q1
2020-01-10,2020,1,10,January,Q1
2020-01-11,2020,1,11,January,Q1
2020-01-12,2020,1,12,January,Q1
2020-01-13,2020,1,13,January,Q1
2020-01-14,2020,1,14,January,Q1
2020-01-15,2020,1,15,January,Q1
2020-01-16,2020,1,16,January,Q1
2020-01-17,2020,1,17,January,Q1
2020-01-18,2020,1,18,January,Q1
2020-01-19,2020,1,19,January,Q1
2020-01-20,2020,1,20,January,Q1
2020-01-21,2020,1,21,January,Q1
2020-01-22,2020,1,22,January,Q1
2020-01-23,2020,1,23,January,Q1
2020-01-24,2020,1,24,January,Q1
2020-01-25,2020,1,25,January,Q1
2020-01-26,2020,1,26,January,Q1
2020-01-27,2020,1,27,January,Q1
2020-01-28,2020,1,28,January,Q1
2020-01-29,2020,1,29,January,Q1
2020-01-30,2020,1,30,January,Q1
2020-01-31,2020,1,31,January,Q1
2020-02-01,2020,2,1,February,Q1
2020-02-02,2020,2,2,February,Q1
2020-02-03,2020,2,3,February,Q1
2020-02-04,2020,2,4,February,Q1
2020-02-05,2020,2,5,February,Q1
2020-02-06,2020,2,6,February,Q1
2020-02-07,2020,2,7,February,Q1
2020-02-08,2020,2,8,February,Q1
2020-02-09,2020,2,9,February,Q1
2020-02-10,2020,2,10,February,Q1
2020-02-11,2020,2,11,February,Q1
2020-02-12,2020,2,12,February,Q1
2020-02-13,2020,2,13,February,Q1
2020-02-14,2020,2,14,February,Q1
2020-02-15,2020,2,15,February,Q1
2020-02-16,2020,2,16,February,Q1
2020-02-17,2020,2,17,February,Q1
2020-02-18,2020,2,18,February,Q1
2020-02-19,2020,2,19,February,Q1
2020-02-20,2020,2,20,February,Q1
2020-02-21,2020,2,21,February,Q1
2020-02-22,2020,2,22,February,Q1
2020-02-23,2020,2,23,February,Q1
2020-02-24,2020,2,24,February,Q1
2020-02-25,2020,2,25,February,Q1
2020-02-26,2020,2,26,February,Q1
2020-02-27,2020,2,27,February,Q1
2020-02-28,2020,2,28,February,Q1
2020-02-29,2020,2,29,February,Q1
2020-03-01,2020,3,1,March,Q1
2020-03-02,2020,3,2,March,Q1
2020-03-03,2020,3,3,March,Q1
2020-03-04,2020,3,4,March,Q1
2020-03-05,2020,3,5,March,Q1
2020-03-06,2020,3,6,March,Q1
2020-03-07,2020,3,7,March,Q1
2020-03-08,2020,3,8,March,Q1
2020-03-09,2020,3,9,March,Q1
2020-03-10,2020,3,10,March,Q1
2020-03-11,2020,3,11,March,Q1
2020-03-12,2020,3,12,March,Q1
2020-03-13,2020,3,13,March,Q1
2020-03-14,2020,3,14,March,Q1
2020-03-15,2020,3,15,March,Q1
2020-03-16,2020,3,16,March,Q1
2020-03-17,2020,3,17,March,Q1
2020-03-18,2020,3,18,March,Q1
2020-03-19,2020,3,19,March,Q1
2020-03-20,2020,3,20,March,Q1
2020-03-21,2020,3,21,March,Q1
2020-03-22,2020,3,22,March,Q1
2020-03-23,2020,3,23,March,Q1
2020-03-24,2020,3,24,March,Q1
2020-03-25,2020,3,25,March,Q1
2020-03-26,2020,3,26,March,Q1
2020-03-27,2020,3,27,March,Q1
2020-03-28,2020,3,28,March,Q1
2020-03-29,2020,3,29,March,Q1
2020-03-30,2020,3,30,March,Q1
2020-03-31,2020,3,31,March,Q1
2020-04-01,2020,4,1,April,Q2
2020-04-02,2020,4,2,April,Q2
2020-04-03,2020,4,3,April,Q2
2020-04-04,2020,4,4,April,Q2
2020-04-05,2020,4,5,April,Q2
2020-04-06,2020,4,6,April,Q2
2020-04-07,2020,4,7,April,Q2
2020-04-08,2020,4,8,April,Q2
2020-04-09,2020,4,9,April,Q2
2020-04-10,2020,4,10,April,Q2
2020-04-11,2020,4,11,April,Q2
2020-04-12,2020,4,12,April,Q2
2020-04-13,2020,4,13,April,Q2
2020-04-14,2020,4,14,April,Q2
2020-04-15,2020,4,15,April,Q2
2020-04-16,2020,4,16,April,Q2
2020-04-17,2020,4,17,April,Q2
2020-04-18,2020,4,18,April,Q2
2020-04-19,2020,4,19,April,Q2
2020-04-20,2020,4,20,April,Q2
2020-04-21,2020,4,21,April,Q2
2020-04-22,2020,4,22,April,Q2
2020-04-23,2020,4,23,April,Q2
2020-04-24,2020,4,24,April,Q2
2020-04-25,2020,4,25,April,Q2
2020-04-26,2020,4,26,April,Q2
2020-04-27,2020,4,27,April,Q2
2020-04-28,2020,4,28,April,Q2
2020-04-29,2020,4,29,April,Q2
2020-04-30,2020,4,30,April,Q2
2020-05-01,2020,5,1,May,Q2
2020-05-02,2020,5,2,May,Q2
2020-05-03,2020,5,3,May,Q2
2020-05-04,2020,5,4,May,Q2
2020-05-05,2020,5,5,May,Q2
2020-05-06,2020,5,6,May,Q2
2020-05-07,2020,5,7,May,Q2
2020-05-08,2020,5,8,May,Q2
2020-05-09,2020,5,9,May,Q2
2020-05-10,2020,5,10,May,Q2
2020-05-11,2020,5,11,May,Q2
2020-05-12,2020,5,12,May,Q2
2020-05-13,2020,5,13,May,Q2
2020-05-14,2020,5,14,May,Q2
2020-05-15,2020,5,15,May,Q2
2020-05-16,2020,5,16,May,Q2
2020-05-17,2020,5,17,May,Q2
2020-05-18,2020,5,18,May,Q2
2020-05-19,2020,5,19,May,Q2
2020-05-20,2020,5,20,May,Q2
2020-05-21,2020,5,21,May,Q2
2020-05-22,2020,5,22,May,Q2
2020-05-23,2020,5,23,May,Q2
2020-05-24,2020,5,24,May,Q2
2020-05-25,2020,5,25,May,Q2
2020-05-26,2020,5,26,May,Q2
2020-05-27,2020,5,27,May,Q2
2020-05-28,2020,5,28,May,Q2
2020-05-29,2020,5,29,May,Q2
2020-05-30,2020,5,30,May,Q2
2020-05-31,2020,5,31,May,Q2
2020-06-01,2020,6,1,June,Q2
2020-06-02,2020,6,2,June,Q2
2020-06-03,2020,6,3,June,Q2
2020-06-04,2020,6,4,June,Q2
2020-06-05,2020,6,5,June,Q2
2020-06-06,2020,6,6,June,Q2
2020-06-07,2020,6,7,June,Q2
2020-06-08,2020,6,8,June,Q2
2020-06-09,2020,6,9,June,Q2
2020-06-10,2020,6,10,June,Q2
2020-06-11,2020,6,11,June,Q2
2020-06-12,2020,6,12,June,Q2
2020-06-13,2020,6,13,June,Q2
2020-06-14,2020,6,14,June,Q2
2020-06-15,2020,6,15,June,Q2
2020-06-16,2020,6,16,June,Q2
2020-06-17,2020,6,17,June,Q2
2020-06-18,2020,6,18,June,Q2
2020-06-19,2020,6,19,June,Q2
2020-06-20,2020,6,20,June,Q2
2020-06-21,2020,6,21,June,Q2
2020-06-22,2020,6,22,June,Q2
2020-06-23,2020,6,23,June,Q2
2020-06-24,2020,6,24,June,Q2
2020-06-25,2020,6,25,June,Q2
2020-06-26,2020,6,26,June,Q2
2020-06-27,2020,6,27,June,Q2
2020-06-28,2020,6,28,June,Q2
2020-06-29,2020,6,29,June,Q2
2020-06-30,2020,6,30,June,Q2
2020-07-01,2020,7,1,July,Q3
2020-07-02,2020,7,2,July,Q3
2020-07-03,2020,7,3,July,Q3
2020-07-04,2020,7,4,July,Q3
2020-07-05,2020,7,5,July,Q3
