id_student,id_course,date,abscence
1,1,2024-01-31,2
2,9,2024-03-26,2
3,2,2024-02-29,2
4,4,2024-03-16,2
5,1,2024-02-28,2
6,3,2024-02-17,2
7,7,2024-01-26,2
8,3,2024-03-17,2
9,8,2024-03-28,2
10,5,2024-01-21,2
11,10,2024-01-30,2
12,9,2024-01-05,2
13,3,2024-03-19,2
14,5,2024-01-29,2
15,9,2024-03-28,2
16,6,2024-01-13,2
17,6,2024-03-02,2
18,3,2024-02-10,2
19,9,2024-03-29,2
20,8,2024-02-28,3
21,6,2024-03-16,2
22,10,2024-03-27,2
23,7,2024-03-23,2
24,4,2024-02-03,2
25,2,2024-03-12,2
26,1,2024-03-30,2
27,3,2024-03-17,2
28,7,2024-03-10,2
29,1,2024-01-27,2
30,6,2024-02-14,3
31,2,2024-01-02,2
32,9,2024-03-21,2
33,8,2024-01-31,2
34,3,2024-02-12,2
35,5,2024-03-05,2
36,5,2024-01-08,2
37,10,2024-01-23,2
38,2,2024-01-25,2
39,8,2024-02-10,2
40,6,2024-02-07,3
1,10,2024-05-30,2
2,3,2024-05-12,3
3,4,2024-04-04,2
4,8,2024-05-19,2
5,5,2024-05-12,2
6,2,2024-05-21,2
7,1,2024-05-23,2
8,1,2024-06-14,2
9,8,2024-04-05,2
10,8,2024-05-09,2
11,2,2024-05-13,2
12,3,2024-06-06,2
13,4,2024-04-25,2
14,6,2024-05-10,2
15,2,2024-04-07,2
16,7,2024-04-14,2
17,10,2024-06-12,2
18,1,2024-05-14,3
19,4,2024-04-03,2
20,10,2024-04-10,2
21,7,2024-06-13,2
22,8,2024-05-11,3
23,3,2024-06-02,2
24,1,2024-04-04,2
25,5,2024-05-27,3
26,6,2024-04-03,2
27,8,2024-06-23,2
28,8,2024-05-24,2
29,5,2024-04-01,2
30,10,2024-06-24,2
31,10,2024-06-14,2
32,3,2024-06-02,2
33,5,2024-05-05,2
34,2,2024-05-15,2
35,9,2024-04-08,2
36,5,2024-06-24,2
37,8,2024-04-23,2
38,10,2024-06-03,2
39,1,2024-06-07,2
40,4,2024-04-26,2
1,2,2024-08-26,3
2,1,2024-07-15,2
3,8,2024-08-22,2
4,4,2024-08-08,2
5,9,2024-08-17,2
6,2,2024-07-31,2
7,5,2024-09-11,2
8,3,2024-08-14,2
9,8,2024-08-23,2
10,6,2024-07-23,2
11,10,2024-08-29,2
12,10,2024-07-16,2
13,8,2024-09-04,2
14,7,2024-09-13,2
15,1,2024-07-10,2
16,4,2024-07-10,2
17,7,2024-07-15,2
18,6,2024-08-12,2
19,7,2024-07-18,2
20,5,2024-09-22,2
21,9,2024-07-12,3
22,2,2024-08-28,2
23,1,2024-07-15,2
24,1,2024-08-18,3
25,9,2024-08-05,2
26,9,2024-08-23,2
27,5,2024-09-22,2
28,8,2024-09-16,3
29,8,2024-08-05,2
30,1,2024-07-19,2
31,6,2024-08-28,2
32,5,2024-08-08,2
33,10,2024-07-13,2
34,3,2024-07-21,2
35,5,2024-08-15,2
36,5,2024-08-29,2
37,1,2024-09-25,2
38,5,2024-08-28,2
39,10,2024-08-12,2
40,3,2024-07-01,2
1,10,2024-12-24,2
2,10,2024-11-10,2
3,6,2024-10-31,2
4,1,2024-12-08,2
5,3,2024-12-22,2
6,10,2024-11-01,3
7,2,2024-11-21,2
8,3,2024-10-21,2
9,9,2024-11-12,2
10,7,2024-11-20,2
11,2,2024-12-25,2
12,5,2024-12-07,2
13,2,2024-10-01,3
14,2,2024-11-16,2
15,9,2024-12-28,2
16,10,2024-12-26,2
17,4,2024-12-03,2
18,2,2024-10-31,2
19,4,2024-11-09,2
20,3,2024-10-17,2
21,7,2024-11-15,2
22,8,2024-11-16,2
23,5,2024-12-20,2
24,2,2024-12-07,2
25,6,2024-10-12,2
26,10,2024-11-24,2
27,2,2024-11-29,2
28,1,2024-11-14,2
29,1,2024-10-31,2
30,2,2024-10-23,2
31,7,2024-11-08,2
32,7,2024-10-04,2
33,1,2024-12-16,2
34,1,2024-10-09,2
35,5,2024-11-18,2
36,5,2024-11-10,2
37,9,2024-12-21,2
38,9,2024-12-25,2
39,5,2024-10-22,2
40,5,2024-11-20,2
