id_course,id_teacher,date,minimum_grade
5,4,2024-01-01,7
6,1,2024-01-01,7
1,4,2024-01-01,7
7,3,2024-01-01,5
10,9,2024-01-01,5
8,1,2024-01-01,6
4,7,2024-01-01,5
3,2,2024-01-01,7
2,2,2024-01-01,7
9,2,2024-01-01,6
5,4,2024-04-01,5
3,7,2024-04-01,5
2,2,2024-04-01,5
1,6,2024-04-01,6
6,8,2024-04-01,6
7,2,2024-04-01,6
4,5,2024-04-01,7
9,4,2024-04-01,7
8,9,2024-04-01,6
10,7,2024-04-01,7
3,9,2024-07-01,7
2,2,2024-07-01,7
6,5,2024-07-01,7
7,7,2024-07-01,6
9,5,2024-07-01,6
8,7,2024-07-01,7
10,10,2024-07-01,5
1,7,2024-07-01,7
5,9,2024-07-01,6
4,7,2024-07-01,7
5,3,2024-10-01,5
8,6,2024-10-01,6
6,5,2024-10-01,5
4,10,2024-10-01,5
9,5,2024-10-01,7
2,5,2024-10-01,6
7,5,2024-10-01,7
10,3,2024-10-01,6
1,10,2024-10-01,7
3,9,2024-10-01,5
