id_student,id_course,date,grade
1,2,2024-01-01,1.0
2,1,2024-01-01,8.5
3,10,2024-01-01,1.0
4,1,2024-01-01,1.5
5,3,2024-01-01,5.5
6,4,2024-01-01,0.0
7,1,2024-01-01,2.0
8,6,2024-01-01,9.0
9,10,2024-01-01,8.0
10,7,2024-01-01,4.0
11,6,2024-01-01,0.5
12,9,2024-01-01,8.0
13,9,2024-01-01,8.5
14,1,2024-01-01,2.5
15,6,2024-01-01,6.0
16,8,2024-01-01,0.0
17,10,2024-01-01,0.0
18,3,2024-01-01,10.0
19,5,2024-01-01,1.5
20,2,2024-01-01,2.0
21,7,2024-01-01,1.5
22,5,2024-01-01,7.5
23,6,2024-01-01,6.0
24,6,2024-01-01,2.5
25,8,2024-01-01,7.0
26,3,2024-01-01,1.5
27,10,2024-01-01,6.0
28,1,2024-01-01,4.0
29,6,2024-01-01,5.0
30,1,2024-01-01,4.0
31,9,2024-01-01,4.5
32,4,2024-01-01,1.0
33,4,2024-01-01,1.0
34,7,2024-01-01,1.0
35,8,2024-01-01,0.5
36,9,2024-01-01,5.5
37,2,2024-01-01,10.0
38,2,2024-01-01,3.0
39,3,2024-01-01,10.0
40,5,2024-01-01,2.5
1,9,2024-04-01,4.0
2,2,2024-04-01,1.5
3,3,2024-04-01,5.0
4,9,2024-04-01,6.5
5,10,2024-04-01,6.0
6,4,2024-04-01,4.0
7,4,2024-04-01,3.0
8,5,2024-04-01,4.0
9,2,2024-04-01,8.5
10,5,2024-04-01,6.5
11,4,2024-04-01,0.5
12,2,2024-04-01,0.0
13,1,2024-04-01,3.5
14,4,2024-04-01,8.0
15,3,2024-04-01,7.0
16,7,2024-04-01,0.0
17,3,2024-04-01,4.5
18,3,2024-04-01,6.5
19,9,2024-04-01,6.0
20,7,2024-04-01,7.0
21,6,2024-04-01,1.5
22,1,2024-04-01,6.0
23,1,2024-04-01,4.0
24,10,2024-04-01,5.0
25,7,2024-04-01,9.0
26,5,2024-04-01,6.5
27,10,2024-04-01,7.5
28,5,2024-04-01,8.0
29,2,2024-04-01,0.0
30,10,2024-04-01,2.5
31,10,2024-04-01,7.5
32,6,2024-04-01,2.5
33,2,2024-04-01,0.5
34,3,2024-04-01,4.0
35,7,2024-04-01,8.0
36,6,2024-04-01,2.5
37,7,2024-04-01,1.5
38,5,2024-04-01,6.5
39,3,2024-04-01,6.0
40,10,2024-04-01,3.5
1,3,2024-07-01,2.5
2,5,2024-07-01,1.5
3,10,2024-07-01,4.5
4,3,2024-07-01,8.5
5,2,2024-07-01,10.0
6,4,2024-07-01,9.0
7,5,2024-07-01,2.5
8,8,2024-07-01,6.0
9,3,2024-07-01,4.0
10,3,2024-07-01,8.0
11,7,2024-07-01,0.5
12,7,2024-07-01,4.0
13,10,2024-07-01,9.0
14,9,2024-07-01,4.5
15,3,2024-07-01,7.0
16,2,2024-07-01,3.0
17,2,2024-07-01,1.5
18,4,2024-07-01,8.5
19,3,2024-07-01,2.5
20,10,2024-07-01,5.0
21,3,2024-07-01,6.5
22,4,2024-07-01,2.0
23,4,2024-07-01,7.0
24,3,2024-07-01,7.5
25,7,2024-07-01,7.0
26,6,2024-07-01,9.5
27,9,2024-07-01,0.5
28,5,2024-07-01,9.0
29,2,2024-07-01,3.0
30,9,2024-07-01,6.0
31,4,2024-07-01,10.0
32,10,2024-07-01,8.5
33,7,2024-07-01,6.5
34,6,2024-07-01,8.5
35,4,2024-07-01,10.0
36,4,2024-07-01,5.5
37,8,2024-07-01,10.0
38,8,2024-07-01,5.0
39,6,2024-07-01,10.0
40,4,2024-07-01,7.0
1,9,2024-10-01,2.0
2,2,2024-10-01,1.5
3,2,2024-10-01,3.5
4,1,2024-10-01,0.5
5,1,2024-10-01,3.5
6,5,2024-10-01,7.0
7,2,2024-10-01,0.5
8,5,2024-10-01,0.5
9,5,2024-10-01,4.0
10,2,2024-10-01,1.5
11,4,2024-10-01,2.0
12,10,2024-10-01,3.0
13,9,2024-10-01,6.0
14,3,2024-10-01,1.0
15,4,2024-10-01,0.0
16,5,2024-10-01,7.5
17,3,2024-10-01,7.5
18,3,2024-10-01,3.0
19,3,2024-10-01,6.5
20,8,2024-10-01,0.5
21,7,2024-10-01,7.0
22,4,2024-10-01,2.0
23,9,2024-10-01,4.0
24,1,2024-10-01,5.0
25,10,2024-10-01,7.5
26,10,2024-10-01,2.5
27,6,2024-10-01,2.5
28,1,2024-10-01,8.0
29,7,2024-10-01,2.0
30,1,2024-10-01,8.0
31,7,2024-10-01,6.0
32,3,2024-10-01,2.5
33,4,2024-10-01,4.0
34,10,2024-10-01,6.0
35,10,2024-10-01,1.5
36,5,2024-10-01,5.0
37,3,2024-10-01,3.5
38,10,2024-10-01,3.5
39,5,2024-10-01,4.5
40,4,2024-10-01,0.5
